"name","description","source_urls","reference","do_sync","method","method_flags","postprocess","access_function","data_group","user","password","wget_flags","http_proxy","ftp_proxy","local_file_root","clobber","skip_downloads","wait"
"NOAA Optimum Interpolation 1/4 Degree Daily Sea Surface Temperature Analysis","Sea surface temperature at 0.25 degree daily resolution, from 1-Sep-1981 to present","ftp://eclipse.ncdc.noaa.gov/pub/OI-daily-v2/NetCDF/*","http://www.ncdc.noaa.gov/oa/climate/research/sst/oi-daily-information.php",TRUE,"wget","--recursive --level=inf --accept=""avhrr-only*"" --reject=""*preliminary*"" --follow-ftp --no-parent","gunzip","readsst","Sea surface temperature","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NOAA Optimum Interpolation Sea Surface Temperature V2","Weekly and monthly mean and long-term monthly mean SST data, 1-degree resolution, 1981 to present. Ice concentration data are also included, which are the ice concentration values input to the SST analysis","ftp://ftp.cdc.noaa.gov/Datasets/noaa.oisst.v2/*","http://www.esrl.noaa.gov/psd/data/gridded/data.noaa.oisst.v2.html",TRUE,"wget","--recursive --level=1 --no-parent","","readsst","Sea surface temperature","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NOAA Extended Reconstructed Sea Surface Temperature V3b","A global monthly SST analysis from 1854 to the present derived from ICOADS data with missing data filled in by statistical methods","ftp://ftp.cdc.noaa.gov/Datasets/noaa.ersst/*","http://www.esrl.noaa.gov/psd/data/gridded/data.noaa.ersst.html",TRUE,"wget","--recursive --level=1 --no-parent","","","Sea surface temperature","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Ssalto/Duacs gridded absolute dynamic topography","Gridded sea surface heights above geoid from satellite altimetry (delayed and near-real-time products)","ftp://ftp.aviso.altimetry.fr/global/delayed-time/grids/madt/all-sat-merged/h/*","http://www.aviso.altimetry.fr/en/data/products/sea-surface-height-products/global/madt.html",TRUE,"wget","--recursive --level=inf --follow-ftp --no-parent","gunzip","readssh","Altimetry","raymond","eqsc744a49","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Ssalto/Duacs gridded absolute geostrophic velocities","Absolute geostrophic velocities computed from gridded sea surface heights above geoid from satellite altimetry  (delayed and near-real-time products)","ftp://ftp.aviso.altimetry.fr/global/delayed-time/grids/madt/all-sat-merged/uv/*","http://www.aviso.altimetry.fr/en/data/products/sea-surface-height-products/global/madt.html",TRUE,"wget","--recursive --level=inf --timestamping --follow-ftp --no-parent","gunzip","readcurr","Altimetry","raymond","eqsc744a49","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Ssalto/Duacs gridded sea level anomalies","Gridded sea surface height anomalies from satellite altimetry  (delayed and near-real-time products)","ftp://ftp.aviso.altimetry.fr/global/delayed-time/grids/msla/all-sat-merged/h/*","http://www.aviso.altimetry.fr/en/data/products/sea-surface-height-products/global/msla.html",TRUE,"wget","--recursive --level=inf --follow-ftp --no-parent","gunzip","readssh","Altimetry","raymond","eqsc744a49","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Ssalto/Duacs gridded mean and climatological sea level anomalies","Monthly mean and monthly climatologies of gridded sea surface height anomalies from satellite altimetry","ftp://ftp.aviso.altimetry.fr/global/delayed-time/grids/climatology/*","http://www.aviso.altimetry.fr/en/data/products/sea-surface-height-products/global/msla-mean-climatology.html",TRUE,"wget","--recursive --level=inf --follow-ftp --no-parent","gunzip","readssh","Altimetry","raymond","eqsc744a49","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"GSHHG coastline data","A Global Self-consistent, Hierarchical, High-resolution Geography Database","ftp://ftp.soest.hawaii.edu/gshhg/*","http://www.soest.hawaii.edu/pwessel/gshhg",TRUE,"wget","--recursive --level=1 --accept=""*bin*.zip,README.TXT""","unzip","","Topography","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Polar environmental data layers","These layers are climatological and other summary layers that may be useful for purposes such as general modelling, regionalisation, and exploratory analyses","http://webdav.data.aad.gov.au/data/environmental/derived/antarctic/","http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=amd_au&EntryId=Polar_Environmental_Data",TRUE,"wget","--recursive --level=inf --timestamping --no-parent --reject=""index.html""","unzip","","Derived products","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata MODIS Aqua Level-3 binned daily remote sensing reflectance","Daily remote-sensing reflectance from MODIS Aqua. RRS is used to produce standard ocean colour products such as chlorophyll concentration","http://oceandata.sci.gsfc.nasa.gov/MODISA/L3BIN/A*L3b_DAY_RRS*","http://oceancolor.gsfc.nasa.gov/",TRUE,"oceandata","search=A*L3b_DAY_RRS*","bunzip2","readchla","Ocean colour","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata SeaWiFS Level-3 binned daily remote sensing reflectance","Daily remote-sensing reflectance from SeaWiFS. RRS is used to produce standard ocean colour products such as chlorophyll concentration","http://oceandata.sci.gsfc.nasa.gov/SeaWiFS/L3BIN/S*L3b_DAY_RRS*","http://oceancolor.gsfc.nasa.gov/",TRUE,"oceandata","search=S*L3b_DAY_RRS*","bunzip2","readchla","Ocean colour","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NASA MODIS Rapid Response Antarctic Mosaic","Daily Antarctic MODIS mosaic images at 4km resolution","http://lance-modis.eosdis.nasa.gov/imagery/subsets/","https://earthdata.nasa.gov/data/near-real-time-data/rapid-response",TRUE,"rapid_response","","","readrapid_response","MODIS Imagery","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"CSIRO Atlas of Regional Seas 2009","CARS is a digital climatology, or atlas of seasonal ocean water properties.","http://www.marine.csiro.au/atlas/","http://www.marine.csiro.au/~dunn/cars2009/",TRUE,"wget","--recursive --level=1 --accept-regex="".*2009.*.nc.gz""","gunzip","","Derived layers","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NCEP-DOE Reanalysis 2 6-hourly data","NCEP-DOE Reanalysis 2 is an improved version of the NCEP Reanalysis I model that fixed errors and updated paramterizations of of physical processes. The 6-hourly data is the original output time resolution.","ftp://ftp.cdc.noaa.gov/Datasets/ncep.reanalysis2/","http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis2.html",TRUE,"wget","--recursive --no-parent --accept=""uwnd.*"" --accept=""vwnd.*""","","","Reanalysis","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NCEP-DOE Reanalysis 2 daily averages","NCEP-DOE Reanalysis 2 is an improved version of the NCEP Reanalysis I model that fixed errors and updated paramterizations of of physical processes. Daily averages are calculated from the 6-hourly model output.","ftp://ftp.cdc.noaa.gov/Datasets/ncep.reanalysis2.dailyavgs/","http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis2.html",TRUE,"wget","--recursive --no-parent","","","Reanalysis","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NCEP-DOE Reanalysis 2 monthly averages","NCEP-DOE Reanalysis 2 is an improved version of the NCEP Reanalysis I model that fixed errors and updated paramterizations of of physical processes. Monthly averages are calculated from the 6-hourly model output.","ftp://ftp.cdc.noaa.gov/Datasets/ncep.reanalysis2.derived/","http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis2.html",TRUE,"wget","--recursive --no-parent","","","Reanalysis","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NSIDC SMMR-SSM/I Nasateam sea ice time since melt","Time since sea ice melted calculated from NSIDC SMMR-SSM/I Nasateam sea ice concentration data","http://webdav.data.aad.gov.au/data/environmental/smmr_ssmi_nasateam/time_since_melt/","",TRUE,"wget","--recursive --level=inf --timestamping --no-parent --reject=""index.html""","","","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Artist AMSR2 regional passive microwave sea ice concentration",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"ETOPO1",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"ETOPO2",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Bedmap2",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Kerguelen Plateau Bathymetric Grid 2010",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"GVDEM2008",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"The International Bathymetric Chart of the Southern Ocean (IBCSO) - digital bathymetric model",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"The International Bathymetric Chart of the Southern Ocean (IBCSO) - digital chart for printing",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"RTOPO-1: A consistent dataset for Antarctic ice shelf topography and global ocean bathymetry",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Radarsat Antarctic Mapping Project Digital Elevation Model Version 2",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata MODIS Terra Level-3 mapped monthly 9km sea surface temperature",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata MODIS Aqua Level-3 binned daily POC","Daily remote-sensing particulate organic carbon from MODIS Aqua. ","","http://oceancolor.gsfc.nasa.gov/",TRUE,"oceandata","search=A*L3b_DAY_POC.main.bz2","bunzip2",NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata SeaWiFS Level-3 binned daily POC","Daily remote-sensing particulate organic carbon from SeaWiFS. ","","http://oceancolor.gsfc.nasa.gov/",TRUE,"oceandata","search=S*L3b_DAY_POC.main.bz2","bunzip2",NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata MODIS Aqua Level-3 binned daily KD490","Daily remote-sensing KD490 from MODIS Aqua. ","","http://oceancolor.gsfc.nasa.gov/",TRUE,"oceandata","search=A*L3b_DAY_KD490.main.bz2","bunzip2",NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Oceandata SeaWiFS Level-3 binned daily KD490","Daily remote-sensing KD490 from SeaWiFS. ","","http://oceancolor.gsfc.nasa.gov/",TRUE,"oceandata","search=S*L3b_DAY_KD490.main.bz2","bunzip2",NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"World Ocean Atlas 2009",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
